"Envelope_ID","PopName","Pop_ID","PopCode2.x","Date_collected","stems","Clump_size","Notes","Type","Flower_number2","Fruit2","Total_seeds_counted","max_fruit","solo_fruit_count","seed_counted_in_solo_fruit","var_seeds","stdev_seeds","Seeds_per_fruit","PopCode2.y","Lat","Long","L","M","S"
"201","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",35,10,17,"9",10,17,5.78888888888889,2.40601099101581,1.88888888888889,NA,NA,NA,NA,NA,NA
"107","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",21,7,73,"7",3,20,36.3333333333333,6.02771377334171,10.4285714285714,NA,NA,NA,NA,NA,NA
"228","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",1,1,8,"1",1,8,NA,NA,8,NA,NA,NA,NA,NA,NA
"339","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",4,1,12,"4",4,12,12.6666666666667,3.55902608401044,3,NA,NA,NA,NA,NA,NA
"277","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",13,1,8,"3",3,8,21.3333333333333,4.61880215351701,2.66666666666667,NA,NA,NA,NA,NA,NA
"342","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",18,9,47,"9",3,3,3,1.73205080756888,5.22222222222222,NA,NA,NA,NA,NA,NA
"371","Jevins","M2","ON.M2",2015-10-25,"2","2",NA,"M",2,1,2,"2",2,2,2,1.4142135623731,1,NA,NA,NA,NA,NA,NA
"349","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",7,3,11,"3",3,11,4.33333333333333,2.08166599946613,3.66666666666667,NA,NA,NA,NA,NA,NA
"178","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",9,0,0,"0",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"58","Jevins","M2","ON.M2",2015-10-25,"2",NA,NA,"M",9,2,8,"2",2,8,32,5.65685424949238,4,NA,NA,NA,NA,NA,NA
"563","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",22,3,3,"3",3,3,1,1,1,NA,NA,NA,NA,NA,NA
"528","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",2,2,19,"2",2,19,24.5,4.94974746830583,9.5,NA,NA,NA,NA,NA,NA
"413","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",4,1,2,"1",1,2,NA,NA,2,NA,NA,NA,NA,NA,NA
"249","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",16,2,17,"2",0,0,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"21","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",8,0,5,"5",5,5,5,2.23606797749979,1,NA,NA,NA,NA,NA,NA
"497","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",12,0,0,"9",12,0,0,0,0,NA,NA,NA,NA,NA,NA
"461","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",15,0,0,"7",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
