"Page","Photo_num","Date","Person_ID","Photo","Envelope_ID","Fruit_ID","Seed_number","NonViable_seeds","Notes","Notes2","Date2"
6,NA,"26-11-2015","Weihang","N",688,"2","21","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",688,"3","3","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",688,"4","7","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",688,"5","1","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",508,"1-5","88","Y",NA,NA,2015-11-26
6,NA,"26-11-2015","Weihang","N",56,"1-5","37","Y",NA,NA,2015-11-26
7,NA,"27-11-2015","Vivienne ","N",554,"1","6","Y","TOTAL 34 SEEDS, 6 FRUITS FOUND, 5 FRUITS USED",NA,2015-11-27
7,NA,"27-11-2015","Vivienne","N",554,"2","11","Y",NA,NA,2015-11-27
7,NA,"27-11-2015","Vivienne","N",554,"3","7","Y",NA,NA,2015-11-27
7,NA,"27-11-2015","Vivienne","N",554,"4","6","Y",NA,NA,2015-11-27
7,NA,"27-11-2015","Vivienne","N",554,"5","4","Y",NA,NA,2015-11-27
7,NA,"01-12-2015","Sierra","N",53,"1","4","Y","ADD SEEDS TOGETHER",NA,2015-12-01
7,NA,"01-12-2015","Sierra","N",53,"2","1","Y",NA,NA,2015-12-01
7,NA,"01-12-2015","Sierra","N",53,"3","1","Y",NA,NA,2015-12-01
7,NA,"01-12-2015","Sierra","N",53,"4","0","Y",NA,NA,2015-12-01
7,NA,"01-12-2015","Sierra","N",53,"5","3","Y",NA,NA,2015-12-01
8,NA,"03-12-2015","Sierra","N",87,"1","0","Y","1 LATE ABORTED",NA,2015-12-03
8,NA,"04-12-2015","Vivienne","N",156,"1","58","Y","*6 SEEDS WERE FOUND IN ENVELPOE BEFORE SEED COUNT","REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",156,"2","53","Y",NA,"REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",156,"3","44","Y",NA,"REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",156,"4","55","Y","*LOST 2 SEEDS IN COUNTING PROCESS","REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",156,"5","18","Y","TOTAL 234","REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",144,"1","49","Y",NA,"REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",144,"2","0","Y",NA,"REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",144,"3","40","Y",NA,"REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",144,"4","1","Y",NA,"REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"04-12-2015","Vivienne","N",144,"5","14","Y","TOATL 104","REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ",2015-12-04
8,NA,"08-12-2015","Sierra","N",202,"3","0","Y",NA,NA,2015-12-08
8,NA,"09-12-2015","Vivienne","N",514,"1","0","Y","ONLY 1 FLOWER FOUND IN ENVELOPE ",NA,2015-12-09
8,NA,"09-12-2015","Vivienne","N",273,"2","0","Y",NA,NA,2015-12-09
8,NA,"09-12-2015","Vivienne","N",273,"3","0","Y",NA,NA,2015-12-09
8,NA,"09-12-2015","Vivienne","N",273,"4","0","Y",NA,NA,2015-12-09
8,NA,"09-12-2015","Vivienne","N",273,"5","0","Y",NA,NA,2015-12-09
9,NA,"09-12-2015","Vivienne","N",246,"2","0","Y",NA,NA,2015-12-09
9,NA,"10-12-2015","Sierra","N",414,"1","0","Y","ONLY 2 FRUIT",NA,2015-12-10
9,NA,"10-12-2015","Sierra","N",414,"2","0","Y",NA,NA,2015-12-10
10,NA,"05-01-2016","Weihang","N",391,"1-5","276","Y ",NA,"MPB hand counted, changed fruit id to 2-5 from 1-4",2016-01-05
10,NA,"05-01-2016","Weihang","N",269,"1","2","Y","MID STAGE ABORTED","this is kept in separate envelope. Stored in location for Jan 5, but MPB checked count on June 1 2016",2016-01-05
10,NA,"05-01-2016","Weihang","N",269,"2-5","53","N","MID STAGE ABORTED","MPB hand counted, changed fruit id to 2-5 from 1-4.Stored in location for Jan 5, but MPB checked count on June 1 2016",2016-01-05
11,NA,"13-01-2016","Rebecca","N",179,"4","3","Y","ONLY 3 SEEDS IN TOTAL",NA,2016-01-13
11,NA,"13-01-2016","Rebecca","N",179,"5","1","Y","HAS ONLY 1 SEED",NA,2016-01-13
11,NA,"13-01-2016","Rebecca","N",548,"7","2","N","ONLY 2 SEEDS TOTAL",NA,2016-01-13
11,NA,"20-01-2016","Rebecca","N",31,"1","18","Y","18 SEEDS",NA,2016-01-20
11,NA,"20-01-2016","Rebecca","N",31,"2","15","Y","15 SEEDS",NA,2016-01-20
11,NA,"20-01-2016","Rebecca","N",31,"3","15","Y","15 SEEDS",NA,2016-01-20
11,NA,"20-01-2016","Rebecca","N",31,"4","2","Y","2 SEEDS",NA,2016-01-20
11,NA,"20-01-2016","Rebecca","N",31,"5","0","Y","NO SEEDS",NA,2016-01-20
11,NA,"20-01-2016","Rebecca","N",130,"1","13","Y","13 SEEDS",NA,2016-01-20
11,NA,"20-01-2016","Rebecca","N",130,"2","17","Y","SEEDS VERY SMALL WITH FUNGI GROWING ON THEM",NA,2016-01-20
13,NA,"21-01-2016","Weihang","N",109,"3","7","Y","7 SEEDS ",NA,2016-01-21
13,NA,"21-01-2016","Weihang","N",109,"4","9","Y","9 SEEDS",NA,2016-01-21
13,NA,"26-01-2016","Rebecca","N",270,"1-4","13","Y","13 SEEDS",NA,2016-01-26
13,NA,"26-01-2016","Rebecca","N",270,"5","1","Y","1 SEED",NA,2016-01-26
13,NA,"26-01-2016","Rebecca","N",478,"1-3","16","Y","16 SEEDS",NA,2016-01-26
13,NA,"26-01-2016","Rebecca","N",478,"4","3","Y","3 SEEDS",NA,2016-01-26
13,NA,"26-01-2016","Rebecca","N",478,"5","0","Y","0 SEEDS",NA,2016-01-26
13,NA,"27-01-2016","Rebecca","N",416,"1-5","17","Y","17 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",416,"6","4","Y","4 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",416,"7","2","Y","2 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",181,"1","4","Y","4 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",181,"2","4","Y","4 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",181,"3","1","Y","1 SEED",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",181,"4","3","Y","3 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",358,"1-3","14","Y","14 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",358,"4","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",358,"5","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",358,"6","2","Y","2 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",623,"1","0","Y","0 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",623,"2","4","Y","4 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",623,"3","12","Y","12 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",623,"4","0","Y","0 SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"1","0","Y","SMALL FRUITS WIDE SAMPLE HAS NO VIABLE SEEDS",NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"2","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"3","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"4","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"5","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"6","0","Y",NA,NA,2016-01-27
13,NA,"27-01-2016","Rebecca","N",193,"7","0","Y",NA,NA,2016-01-27
14,NA,"02-02-2016","Rebecca","N",63,"2","25","Y","25 SEEDS",NA,2016-02-02
14,NA,"02-02-2016","Rebecca","N",63,"5","22","Y","22 SEEDS",NA,2016-02-02
14,NA,"02-02-2016","Rebecca","N",63,"7","12","Y","12 SEEDS",NA,2016-02-02
14,NA,"02-02-2016","Rebecca","N",718,"4","12","Y","12 SEEDS",NA,2016-02-02
14,NA,"02-02-2016","Rebecca","N",718,"5","8","Y","8 SEEDS",NA,2016-02-02
14,NA,"03-02-2016","Rebecca","N",49,"5","4","Y","4 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",69,"1","24","Y","24 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",348,"1","0","N",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",12,"1","6","Y","6 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",12,"2","2","Y","2 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",12,"3","0","Y","0 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",12,"4","8","Y","8 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",12,"5","8","Y","8 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",12,"6","5","Y","5 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",371,"1","0","Y",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",371,"2","2","Y","2 SEEDS",NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",365,"1","0","Y ",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",365,"2","0","Y ",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",365,"3","0","N",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",365,"4","0","N",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",365,"5","0","Y",NA,NA,2016-02-03
14,NA,"03-02-2016","Rebecca","N",365,"6","0","Y",NA,NA,2016-02-03
