"Envelope_ID","PopName","Pop_ID","PopCode","PopCode2","Date_collected","stems","Clump_size","Flower_number","Fruit_number","Secondary_branches","Notes","Seed.number","Type","Flower_number2","Fruit2"
"34","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",60,60,5,"","","P",60,60
"186","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",45,40,0,"","","P",45,40
"156","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","10",45,43,8,"","","P",45,43
"220","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",125,125,11,"","","P",125,125
"410","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",215,215,6,"plants were interspersed among tall grasses. Estimates of clump size could not be obtained. ","","P",215,215
"348","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",23,20,0,"","","P",23,20
"330","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",105,105,0,"","","P",105,105
"327","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",230,230,10,"","","P",230,230
"150","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",500,500,8,"","","P",500,500
"108","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",245,245,14,"","","P",245,245
"36","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",130,130,8,"","","P",130,130
"6","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",195,195,7,"","","P",195,195
"63","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",320,320,14,"","","P",320,320
"671","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",139,139,8,"small secondary branches","","P",139,139
"608","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",144,144,7,"","","P",144,144
"516","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",102,102,2,"","","P",102,102
"518","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",115,115,0,"","","P",115,115
"309","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",55,55,0,"","","P",55,55
"458","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",70,70,0,"","","P",70,70
"216","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",105,105,0,"","","P",105,105
"395","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",95,95,0,"","","P",95,95
"336","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",90,90,3,"","","P",90,90
