"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
700,"M","Barrie","M13","ON.M13","17-10-15","",8,58,58,6,153,25.5,180.5,13.4350288425444
466,"M","Barrie","M13","ON.M13","17-10-15","",0,33,33,5,62,12.4,1,1
493,"M","Barrie","M13","ON.M13","17-10-15","6",0,55,55,7,128,18.2857142857143,72,8.48528137423857
679,"M","Barrie","M13","ON.M13","17-10-15","2",0,30,30,5,110,22,NA,NA
640,"M","Barrie","M13","ON.M13","17-10-15","",6,90,90,5,57,11.4,50,7.07106781186548
281,"M","Barrie","M13","ON.M13","17-10-15","",4,60,60,5,67,13.4,8.3,2.88097205817759
739,"M","Barrie","M13","ON.M13","17-10-15","",0,27,27,5,86,17.2,60.5,7.77817459305202
344,"M","Barrie","M13","ON.M13","17-10-15","",9,33,33,5,101,20.2,22.2,4.7116875957559
737,"M","Barrie","M13","ON.M13","17-10-15","",0,35,32,5,122,24.4,NA,NA
347,"M","Barrie","M13","ON.M13","17-10-15","",0,17,17,5,76,15.2,17.2,4.14728827066554
740,"M","Barrie","M13","ON.M13","17-10-15","",0,35,33,5,84,16.8,34.7,5.89067059000926
446,"M","Barrie","M13","ON.M13","17-10-15","",0,12,12,5,69,13.8,40.5,6.36396103067893
187,"M","Barrie","M13","ON.M13","17-10-15","",0,60,55,6,128,21.3333333333333,NA,NA
469,"M","Barrie","M13","ON.M13","17-10-15","",0,45,44,6,142,23.6666666666667,0.5,0.707106781186548
742,"M","Barrie","M13","ON.M13","17-10-15","",0,18,17,5,85,17,NA,NA
498,"M","Barrie","M13","ON.M13","17-10-15","",0,25,24,5,0,0,0,0
326,"M","Barrie","M13","ON.M13","17-10-15","",0,40,35,5,92,18.4,9.33333333333333,3.05505046330389
561,"M","Barrie","M13","ON.M13","17-10-15","",0,58,58,4,70,17.5,11,3.3166247903554
433,"M","Barrie","M13","ON.M13","17-10-15","",8,100,100,6,129,21.5,13,3.60555127546399
681,"M","Barrie","M13","ON.M13","17-10-15","",0,25,25,5,121,24.2,NA,NA
438,"M","Barrie","M13","ON.M13","17-10-15","",5,140,140,5,129,25.8,NA,NA
654,"M","Barrie","M13","ON.M13","17-10-15","",6,100,100,5,94,18.8,NA,NA
350,"M","Barrie","M13","ON.M13","17-10-15","",0,70,70,6,77,12.8333333333333,56.5666666666667,7.52108148251744
293,"M","Barrie","M13","ON.M13","17-10-15","",0,28,28,5,92,18.4,0.333333333333333,0.577350269189626
375,"M","Barrie","M13","ON.M13","17-10-15","",0,50,47,5,56,11.2,9.2,3.03315017762062
262,"M","Barrie","M13","ON.M13","17-10-15","",0,60,60,5,72,14.4,0,0
622,"M","Barrie","M13","ON.M13","17-10-15","",0,65,65,6,158,26.3333333333333,54.6666666666667,7.39369100427294
732,"M","Barrie","M13","ON.M13","17-10-15","",0,6,6,3,43,14.3333333333333,174.333333333333,13.2035348802256
706,"M","Barrie","M13","ON.M13","17-10-15","",0,75,75,6,135,22.5,NA,NA
295,"M","Barrie","M13","ON.M13","17-10-15","",0,23,23,6,122,20.3333333333333,NA,NA
495,"M","Barrie","M13","ON.M13","17-10-15","",0,40,40,6,121,20.1666666666667,26.9666666666667,5.19294393062997
564,"M","Barrie","M13","ON.M13","17-10-15","",0,7,7,2,29,14.5,60.5,7.77817459305202
265,"M","Barrie","M13","ON.M13","17-10-15","",0,16,15,5,0,0,0,0
682,"M","Lafarce","M14","ON.M14","17-10-15","",0,11,11,5,46,9.2,4.5,2.12132034355964
268,"M","Lafarce","M14","ON.M14","17-10-15","",0,3,3,3,24,8,4,2
684,"M","Lafarce","M14","ON.M14","17-10-15","",0,9,9,5,20,4,18,4.24264068711928
471,"M","Lafarce","M14","ON.M14","17-10-15","",0,17,17,4,33,8.25,NA,NA
660,"M","Lafarce","M14","ON.M14","17-10-15","",0,16,14,5,39,7.8,7.2,2.68328157299975
441,"M","Lafarce","M14","ON.M14","17-10-15","",0,7,2,2,14,7,8,2.82842712474619
627,"M","Lafarce","M14","ON.M14","17-10-15","",0,14,14,5,45,9,2,1.4142135623731
745,"M","Lafarce","M14","ON.M14","17-10-15","",0,27,27,5,45,9,14.3333333333333,3.78593889720018
376,"M","Lafarce","M14","ON.M14","17-10-15","",0,15,15,5,23,4.6,6.3,2.50998007960223
378,"M","Lafarce","M14","ON.M14","17-10-15","",0,4,4,4,28,7,3.33333333333333,1.82574185835055
444,"M","Lafarce","M14","ON.M14","17-10-15","",0,8,8,5,27,5.4,6.8,2.60768096208106
630,"M","Lafarce","M14","ON.M14","17-10-15","",0,14,14,5,33,6.6,3.8,1.94935886896179
567,"M","Lafarce","M14","ON.M14","17-10-15","",0,19,19,4,25,6.25,10.9166666666667,3.30403793359983
329,"M","Lafarce","M14","ON.M14","17-10-15","",0,12,3,3,14,4.66666666666667,4.33333333333333,2.08166599946613
474,"M","Lafarce","M14","ON.M14","17-10-15","",0,14,12,5,50,10,NA,NA
496,"M","Lafarce","M14","ON.M14","17-10-15","",0,16,16,5,43,8.6,4.3,2.07364413533277
55,"M","Lafarce","M14","ON.M14","17-10-15","",0,10,10,5,42,8.4,15.3,3.91152144312159
278,"M","Lafarce","M14","ON.M14","17-10-15","",0,12,10,5,20,4,1.5,1.22474487139159
599,"M","Lafarce","M14","ON.M14","17-10-15","",0,1,1,1,11,11,NA,NA
709,"M","Lafarce","M14","ON.M14","17-10-15","8",0,8,8,4,46,11.5,5.66666666666667,2.38047614284762
693,"M","Lafarce","M14","ON.M14","17-10-15","3",0,40,7,6,30,5,2.4,1.54919333848297
447,"M","Lafarce","M14","ON.M14","17-10-15","",0,9,6,4,19,4.75,NA,NA
271,"M","Lafarce","M14","ON.M14","17-10-15","",0,26,26,6,58,9.66666666666667,11.0666666666667,3.32665998663324
297,"M","Lafarce","M14","ON.M14","17-10-15","",0,23,23,5,33,6.6,7.3,2.70185121722126
381,"M","Lafarce","M14","ON.M14","17-10-15","",0,3,3,3,12,4,7,2.64575131106459
352,"M","Lafarce","M14","ON.M14","17-10-15","",0,15,15,5,44,8.8,4.5,2.12132034355964
748,"M","Lafarce","M14","ON.M14","17-10-15","",0,11,11,6,40,6.66666666666667,3.86666666666667,1.96638416050035
397,"M","Lafarce","M14","ON.M14","17-10-15","",0,5,5,4,33,8.25,16.25,4.03112887414927
585,"M","Lafarce","M14","ON.M14","17-10-15","",0,8,7,4,29,7.25,3.58333333333333,1.89296944860009
577,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",4,117,112,5,109,21.8,41.7,6.45755371638518
534,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,35,30,6,86,14.3333333333333,0.666666666666667,0.816496580927726
