Envelope_ID,Type,PopName,Pop_ID,PopCode2,Date_collected,Clump_size,Secondary_branches,Flower_num,Fruit_num
304,M,Jevins,M2,ON.M2,2025-10-15,,0,6,3
237,M,Jevins,M2,ON.M2,2025-10-15,,8,18,5
11,M,Jevins,M2,ON.M2,2025-10-15,,0,4,0
214,M,Jevins,M2,ON.M2,2025-10-15,,0,3,2
288,M,Jevins,M2,ON.M2,2025-10-15,,0,21,20
163,M,Jevins,M2,ON.M2,2025-10-15,,0,10,3
241,M,Jevins,M2,ON.M2,2025-10-15,,0,37,13
425,M,Jevins,M2,ON.M2,2025-10-15,,0,25,17
387,M,Jevins,M2,ON.M2,2025-10-15,,0,12,11
575,M,Jevins,M2,ON.M2,2025-10-15,,0,6,5
600,M,Jevins,M2,ON.M2,2025-10-15,,0,9,9
73,M,Jevins,M2,ON.M2,2025-10-15,,0,11,10
548,M,Jevins,M2,ON.M2,2025-10-15,,0,21,10
23,M,Jevins,M2,ON.M2,2025-10-15,,0,15,7
465,M,Jevins,M2,ON.M2,2025-10-15,,0,14,14
485,M,Jevins,M2,ON.M2,2025-10-15,,0,33,20
668,M,Jevins,M2,ON.M2,2025-10-15,,0,31,26
405,M,Jevins,M2,ON.M2,2025-10-15,,0,10,10
411,M,Jevins,M2,ON.M2,2025-10-15,,0,2,0
351,M,Jevins,M2,ON.M2,2025-10-15,,0,8,2
162,M,Jevins,M2,ON.M2,2025-10-15,,0,5,0
201,M,Jevins,M2,ON.M2,2025-10-15,,0,35,10
107,M,Jevins,M2,ON.M2,2025-10-15,,7,21,7
228,M,Jevins,M2,ON.M2,2025-10-15,,0,1,1
339,M,Jevins,M2,ON.M2,2025-10-15,,0,4,1
277,M,Jevins,M2,ON.M2,2025-10-15,,7,13,1
342,M,Jevins,M2,ON.M2,2025-10-15,,0,18,9
371,M,Jevins,M2,ON.M2,2025-10-15,2,0,2,1
349,M,Jevins,M2,ON.M2,2025-10-15,,8,7,3
178,M,Jevins,M2,ON.M2,2025-10-15,,0,9,0
58,M,Jevins,M2,ON.M2,2025-10-15,,0,9,2
563,M,Jevins,M2,ON.M2,2025-10-15,,0,22,3
528,M,Jevins,M2,ON.M2,2025-10-15,,0,2,2
413,M,Jevins,M2,ON.M2,2025-10-15,,0,4,1
249,M,Jevins,M2,ON.M2,2025-10-15,,6,16,2
21,M,Jevins,M2,ON.M2,2025-10-15,,0,8,0
497,M,Hindon bog,M6,ON.M6,2024-10-15,,0,12,0
461,M,Hindon bog,M6,ON.M6,2024-10-15,,0,15,0
650,M,Hindon bog,M6,ON.M6,2024-10-15,,0,3,0
638,M,Hindon bog,M6,ON.M6,2024-10-15,,5,2,0
587,M,Hindon bog,M6,ON.M6,2024-10-15,,0,11,0
467,M,Hindon bog,M6,ON.M6,2024-10-15,,0,2,0
343,M,Hindon bog,M6,ON.M6,2024-10-15,,6,6,0
255,M,Hindon bog,M6,ON.M6,2024-10-15,,0,3,0
5,M,Hindon bog,M6,ON.M6,2024-10-15,,0,9,0
552,M,Hindon bog,M6,ON.M6,2024-10-15,,0,12,0
100,M,Hindon bog,M6,ON.M6,2024-10-15,,0,10,0
404,M,Hindon bog,M6,ON.M6,2024-10-15,,0,11,0
219,M,Hindon bog,M6,ON.M6,2024-10-15,,0,4,4
579,M,Hindon bog,M6,ON.M6,2024-10-15,,0,26,0
593,M,Hindon bog,M6,ON.M6,2024-10-15,,0,25,14
324,M,Hindon bog,M6,ON.M6,2024-10-15,,0,13,0
114,M,Hindon bog,M6,ON.M6,2024-10-15,,0,2,0
298,M,Hindon bog,M6,ON.M6,2024-10-15,,0,13,0
243,M,Hindon bog,M6,ON.M6,2024-10-15,,0,19,0
276,M,Hindon bog,M6,ON.M6,2024-10-15,,0,10,0
111,M,Hindon bog,M6,ON.M6,2024-10-15,,0,19,0
45,M,Hindon bog,M6,ON.M6,2024-10-15,,0,22,0
312,M,Hindon bog,M6,ON.M6,2024-10-15,,0,8,0
193,M,Hindon bog,M6,ON.M6,2024-10-15,,10,42,0
