"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
81,"P","Loch Garry","T12","ON.T12","2023-10-15","",5,30,30,0,0,NA,NA,NA,NA,"Y"
82,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",10,82,82,4,86,21.5,0,NA,NA,"N"
83,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",0,38,10,0,0,NA,NA,NA,NA,"N"
84,"M","Round Lake","M5","ON.M5","2024-10-15","",0,11,7,6,18,3,18,5.66666666666667,2.38047614284762,"N"
85,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,75,60,6,74,12.3333333333333,11,NA,NA,"N"
86,"M","Lac LaPeche","M10","ON.M10","2012-10-15","",7,65,65,7,65,9.28571428571429,19,4.5,2.12132034355964,"Y"
87,"M","Caledon","M4","ON.M4","2025-10-15","",0,5,0,0,0,NA,NA,NA,NA,"Y"
88,"P","Joes Lake","T13","ON.T13","2009-10-15","",12,17,1,6,17,2.83333333333333,17,2.3,1.51657508881031,"N"
89,"P","Otty Lake","D7","ON.D7","2026-10-15","",0,35,35,5,109,21.8,0,NA,NA,"N"
91,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,45,40,5,58,11.6,0,NA,NA,"N"
92,"P","Joes Lake","T13","ON.T13","2009-10-15","",0,20,20,5,121,24.2,121,115.7,10.7563934476199,"N"
93,"M","Corry Lake","M16","ON.M16","2011-10-15","",2,15,14,5,18,3.6,3,0,0,"N"
94,"M","Corry Lake","M16","ON.M16","2011-10-15","",8,70,70,10,108,10.8,0,NA,NA,"N"
95,"M","Round Lake","M5","ON.M5","2024-10-15","",0,10,6,4,11,2.75,11,4.25,2.06155281280883,"N"
96,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",6,65,65,5,128,25.6,20,NA,NA,"N"
97,"P","Bewdley A","D5","ON.D5","1930-10-15","",7,30,30,6,151,25.1666666666667,0,NA,NA,"N"
98,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",4,55,55,5,155,31,0,NA,NA,"N"
99,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,20,0,0,0,NA,NA,NA,NA,"N"
100,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,10,0,0,0,NA,NA,NA,NA,"N"
101,"M","Ferguson","M11","ON.M11","2010-10-15","",0,55,0,0,0,NA,NA,NA,NA,"N"
102,"P","Loch Garry","T12","ON.T12","2023-10-15","",0,75,75,5,257,51.4,257,149.3,12.2188379152847,"N"
103,"M","Corry Lake","M16","ON.M16","2011-10-15","",0,35,34,5,20,4,4,NA,NA,"N"
104,"P","Loch Garry","T12","ON.T12","2023-10-15","",0,85,85,5,50,10,21,NA,NA,"Y"
105,"M","Corry Lake","M16","ON.M16","2011-10-15","",5,30,30,8,62,7.75,0,NA,NA,"Y"
106,"P","Loch Garry","T12","ON.T12","2023-10-15","20",8,110,105,5,26,5.2,15,3,1.73205080756888,"N"
107,"M","Jevins","M2","ON.M2","2025-10-15","",7,21,7,7,79,11.2857142857143,20,36.3333333333333,6.02771377334171,"N"
108,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",14,245,245,5,284,56.8,284,221.7,14.8895936814945,"N"
109,"P","Otty Lake","D7","ON.D7","2026-10-15","",10,125,125,4,54,13.5,16,2,1.4142135623731,"N"
110,"M","Constance Lake","M9","ON.M9","2013-10-15","",8,35,30,3,8,2.66666666666667,8,NA,NA,"N"
111,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,19,0,0,0,NA,NA,NA,NA,"N"
