"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
361,NA,24,NA,0.5,0.707106781186548
362,NA,79,NA,NA,NA
363,5,77,15.4,2.8,1.67332005306815
364,NA,142,NA,NA,NA
365,6,0,0,0,0
366,5,45,9,12.5,3.53553390593274
367,4,33,8.25,46.9166666666667,6.84957419601151
368,6,52,8.66666666666667,13.4666666666667,3.66969571853944
370,5,41,8.2,23.2,4.81663783151692
371,2,2,1,2,1.4142135623731
372,NA,81,NA,NA,NA
373,NA,98,NA,0.5,0.707106781186548
374,3,6,2,12,3.46410161513775
375,5,56,11.2,9.2,3.03315017762062
376,5,23,4.6,6.3,2.50998007960223
377,NA,0,NA,0,0
378,4,28,7,3.33333333333333,1.82574185835055
379,5,28,5.6,9.3,3.04959013639538
380,NA,97,NA,6.33333333333333,2.51661147842358
381,3,12,4,7,2.64575131106459
382,5,39,7.8,7.2,2.68328157299975
383,5,7,1.4,9.8,3.13049516849971
384,5,0,0,0,0
385,5,0,0,0,0
386,NA,123,NA,NA,NA
387,NA,41,NA,NA,NA
388,3,1,0.333333333333333,0.333333333333333,0.577350269189626
389,NA,141,NA,NA,NA
390,NA,50,NA,NA,NA
391,NA,276,NA,NA,NA
392,NA,46,NA,NA,NA
393,5,0,0,0,0
394,6,40,6.66666666666667,4.66666666666667,2.16024689946929
395,NA,123,NA,NA,NA
396,NA,0,NA,NA,NA
397,4,33,8.25,16.25,4.03112887414927
398,5,42,8.4,14.8,3.84707681233427
399,0,0,0,NA,NA
400,NA,83,NA,6.33333333333333,2.51661147842358
401,5,175,35,1028,32.0624390837628
402,NA,48,NA,122.47619047619,11.0668961536734
403,5,84,16.8,22.2,4.7116875957559
404,6,0,0,0,0
405,5,0,0,0,0
406,0,0,0,NA,NA
407,NA,376,NA,NA,NA
408,5,0,0,0,0
409,5,64,12.8,12.7,3.56370593624109
410,NA,227,NA,NA,NA
411,2,0,0,0,0
412,4,55,13.75,2.91666666666667,1.70782512765993
413,1,2,2,NA,NA
414,2,0,0,0,0
415,3,0,0,0,0
416,NA,23,NA,2,1.4142135623731
417,NA,48,NA,NA,NA
418,5,0,0,0,0
419,4,107,26.75,62.9166666666667,7.9320026895272
420,NA,41,NA,0,0
421,5,82,16.4,18.8,4.33589667773576
422,0,0,0,NA,NA
423,NA,108,NA,10.3333333333333,3.21455025366432
424,6,72,12,8,2.82842712474619
425,NA,21,NA,NA,NA
426,NA,110,NA,NA,NA
427,NA,64,NA,NA,NA
428,0,0,0,NA,NA
429,5,54,10.8,20.2,4.49444101084885
430,NA,68,NA,NA,NA
431,5,10,2,5.5,2.34520787991171
433,NA,129,NA,13,3.60555127546399
434,NA,35,NA,NA,NA
435,5,61,12.2,14.7,3.83405790253616
436,5,0,0,0,0
437,5,0,0,0,0
438,NA,129,NA,NA,NA
439,NA,24,NA,1,1
440,NA,4,NA,0.666666666666667,0.816496580927726
441,2,14,7,8,2.82842712474619
442,1,2,2,NA,NA
443,NA,171,NA,37,6.08276253029822
444,5,27,5.4,6.8,2.60768096208106
445,5,15,3,4.5,2.12132034355964
446,NA,69,NA,40.5,6.36396103067893
447,NA,19,NA,NA,NA
448,NA,47,NA,NA,NA
449,NA,153,NA,NA,NA
450,NA,83,NA,2,1.4142135623731
451,NA,28,NA,NA,NA
452,5,198,39.6,133.3,11.5455619178973
455,NA,457,NA,NA,NA
458,NA,121,NA,NA,NA
460,5,58,11.6,16.3,4.03732584763727
461,NA,0,NA,NA,NA
462,4,46,11.5,7,2.64575131106459
463,5,12,2.4,0.8,0.894427190999916
464,NA,78,NA,NA,NA
465,NA,30,NA,NA,NA
466,NA,62,NA,1,1
467,NA,0,NA,NA,NA
468,NA,39,NA,NA,NA
469,NA,142,NA,0.5,0.707106781186548
470,NA,42,NA,64,8
471,NA,33,NA,NA,NA
472,5,39,7.8,5.2,2.28035085019828
473,NA,50,NA,NA,NA
474,NA,50,NA,NA,NA
475,5,43,8.6,9.3,3.04959013639538
476,NA,29,NA,NA,NA
477,5,29,5.8,11.7,3.42052627529741
478,NA,19,NA,4.5,2.12132034355964
479,NA,82,NA,NA,NA
480,NA,22,NA,NA,NA
481,NA,41,NA,NA,NA
482,8,36,4.5,56,7.48331477354788
485,NA,42,NA,4.5,2.12132034355964
488,NA,110,NA,NA,NA
489,5,0,0,0,0
490,NA,38,NA,NA,NA
491,5,50,10,15,3.87298334620742
492,11,38,3.45454545454545,9.87272727272727,3.14208963473789
493,NA,128,NA,72,8.48528137423857
494,5,94,18.8,163.2,12.774975538137
495,6,121,20.1666666666667,26.9666666666667,5.19294393062997
496,5,43,8.6,4.3,2.07364413533277
497,12,0,0,0,0
498,5,0,0,0,0
499,6,52,8.66666666666667,3.86666666666667,1.96638416050035
500,NA,224,NA,256.333333333333,16.0104132780304
