"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
228,1,8,8,8,NA,NA,"N"
229,2,6,3,6,8,2.82842712474619,"N"
231,6,15,2.5,11,2.25,1.5,"Y"
232,4,96,24,96,72.6666666666667,8.52447456836295,"Y"
233,5,61,12.2,30,31,5.56776436283002,"N"
235,4,26,6.5,26,6.33333333333333,2.51661147842358,"Y"
236,5,248,49.6,248,158.3,12.5817327900413,"N"
237,3,6,2,6,1,1,"N"
238,1,3,3,3,NA,NA,"N"
239,5,12,2.4,12,7.33333333333333,2.70801280154532,"Y"
240,5,16,3.2,0,NA,NA,"N"
241,6,21,3.5,0,NA,NA,"N"
242,6,25,4.16666666666667,0,NA,NA,"N"
244,5,46,9.2,11,0.5,0.707106781186548,"N"
245,6,114,19,114,204.8,14.3108350559987,"Y"
246,5,217,43.4,217,45.5833333333333,6.7515430335097,"N"
247,5,89,17.8,0,NA,NA,"N"
249,2,17,8.5,0,NA,NA,"N"
250,5,54,10.8,0,NA,NA,"N"
252,6,158,26.3333333333333,0,NA,NA,"N"
253,5,30,6,30,14,3.74165738677394,"N"
256,5,38,7.6,6,NA,NA,"N"
258,3,41,13.6666666666667,0,NA,NA,"Y"
259,1,3,3,3,NA,NA,"Y"
261,5,52,10.4,52,37.8,6.14817045957576,"N"
262,5,72,14.4,30,0,0,"Y"
263,7,43,6.14285714285714,43,6.80952380952381,2.60950643025148,"Y"
264,2,7,3.5,7,0.5,0.707106781186548,"N"
266,5,26,5.2,0,NA,NA,"N"
267,5,82,16.4,82,113.3,10.6442472725881,"Y"
268,3,24,8,24,4,2,"Y"
269,5,55,11,2,NA,NA,"Y"
270,5,14,2.8,1,NA,NA,"N"
271,6,58,9.66666666666667,58,11.0666666666667,3.32665998663324,"Y"
272,4,37,9.25,4,NA,NA,"N"
273,1,1,1,1,NA,NA,"N"
274,6,88,14.6666666666667,88,13.0666666666667,3.61478445646026,"N"
275,5,105,21,0,NA,NA,"N"
277,2,8,4,8,NA,NA,"N"
278,5,20,4,20,1.5,1.22474487139159,"N"
279,2,2,1,2,0,0,"N"
280,5,92,18.4,92,34.8,5.89915248150105,"N"
281,5,67,13.4,67,8.3,2.88097205817759,"Y"
285,5,90,18,33,60.5,7.77817459305202,"N"
287,5,23,4.6,23,3.3,1.81659021245849,"N"
288,7,21,3,21,1.66666666666667,1.29099444873581,"N"
289,5,70,14,70,16.5,4.06201920231798,"N"
290,6,42,7,0,NA,NA,"N"
292,4,111,27.75,111,150.25,12.2576506721313,"N"
293,5,92,18.4,56,0.333333333333333,0.577350269189626,"N"
294,5,68,13.6,68,10.3,3.20936130717624,"N"
295,6,122,20.3333333333333,19,NA,NA,"N"
296,5,58,11.6,58,11.3,3.36154726279432,"Y"
297,5,33,6.6,33,7.3,2.70185121722126,"Y"
300,5,44,8.8,44,27.7,5.26307894677631,"N"
301,5,14,2.8,14,4.7,2.16794833886788,"N"
302,5,42,8.4,42,8.8,2.96647939483827,"N"
304,3,4,1.33333333333333,4,0.333333333333333,0.577350269189626,"N"
305,3,7,2.33333333333333,7,NA,NA,"Y"
306,7,314,44.8571428571429,0,NA,NA,"N"
307,4,80,20,0,NA,NA,"N"
308,5,151,30.2,0,NA,NA,"N"
309,5,218,43.6,218,117.8,10.8535708409721,"N"
310,5,24,4.8,24,7.7,2.77488738510232,"N"
311,5,59,11.8,59,21.7,4.65832587954085,"N"
313,6,130,21.6666666666667,0,NA,NA,"N"
314,5,198,39.6,198,70.8,8.41427358718505,"N"
316,4,30,7.5,30,52,7.21110255092798,"N"
317,5,26,5.2,26,7.7,2.77488738510232,"N"
318,7,45,6.42857142857143,0,NA,NA,"Y"
319,5,93,18.6,93,169,13,"N"
320,5,86,17.2,86,126.2,11.2338773359869,"Y"
321,5,159,31.8,159,46.2,6.79705818718657,"N"
323,5,12,2.4,12,0.3,0.547722557505166,"Y"
325,25,237,9.48,0,NA,NA,"N"
326,5,92,18.4,59,9.33333333333333,3.05505046330389,"N"
327,5,141,28.2,78,4,2,"N"
328,9,98,10.8888888888889,0,NA,NA,"Y"
329,3,14,4.66666666666667,14,4.33333333333333,2.08166599946613,"N"
330,5,204,40.8,0,NA,NA,"N"
331,5,38,7.6,0,NA,NA,"N"
333,5,20,4,20,4,2,"N"
335,5,64,12.8,64,33.7,5.80517010948,"Y"
336,5,167,33.4,0,NA,NA,"N"
337,6,21,3.5,21,0.7,0.836660026534076,"Y"
338,5,76,15.2,33,40.5,6.36396103067893,"N"
339,4,12,3,12,13,3.60555127546399,"N"
340,4,94,23.5,94,121.666666666667,11.0302614051829,"N"
341,5,29,5.8,29,4.7,2.16794833886788,"N"
342,10,47,4.7,3,NA,NA,"N"
344,5,101,20.2,101,22.2,4.7116875957559,"N"
346,7,95,13.5714285714286,0,NA,NA,"N"
347,5,76,15.2,76,17.2,4.14728827066554,"N"
348,6,101,16.8333333333333,0,NA,NA,"N"
349,3,11,3.66666666666667,11,4.33333333333333,2.08166599946613,"N"
350,6,77,12.8333333333333,77,56.5666666666667,7.52108148251744,"Y"
351,2,3,1.5,3,0.5,0.707106781186548,"N"
352,5,44,8.8,17,4.5,2.12132034355964,"N"
353,5,2,0.4,2,0,0,"N"
354,6,48,8,48,16,4,"N"
355,8,13,1.625,13,2.3,1.51657508881031,"N"
356,5,33,6.6,0,NA,NA,"N"
357,6,97,16.1666666666667,0,NA,NA,"N"
358,6,16,2.66666666666667,2,NA,NA,"N"
359,5,152,30.4,0,NA,NA,"N"
360,4,158,39.5,0,NA,NA,"N"
361,7,24,3.42857142857143,5,0.5,0.707106781186548,"Y"
362,5,79,15.8,0,NA,NA,"N"
363,5,77,15.4,77,2.8,1.67332005306815,"N"
364,5,142,28.4,0,NA,NA,"Y"
366,5,45,9,45,12.5,3.53553390593274,"N"
367,4,33,8.25,33,46.9166666666667,6.84957419601151,"N"
368,6,52,8.66666666666667,52,13.4666666666667,3.66969571853944,"Y"
370,5,41,8.2,41,2.91666666666667,1.70782512765993,"N"
371,2,2,1,2,NA,NA,"N"
372,4,81,20.25,0,NA,NA,"Y"
373,4,98,24.5,55,0.5,0.707106781186548,"N"
374,1,6,6,6,NA,NA,"N"
375,5,56,11.2,56,9.2,3.03315017762062,"Y"
376,5,23,4.6,23,6.3,2.50998007960223,"N"
378,4,28,7,28,3.33333333333333,1.82574185835055,"N"
379,5,28,5.6,28,9.3,3.04959013639538,"Y"
380,6,97,16.1666666666667,41,6.33333333333333,2.51661147842358,"N"
381,3,12,4,12,7,2.64575131106459,"N"
382,5,39,7.8,39,7.2,2.68328157299975,"Y"
383,4,7,1.75,7,NA,NA,"N"
386,4,123,30.75,0,NA,NA,"N"
387,5,41,8.2,0,NA,NA,"N"
388,2,1,0.5,1,NA,NA,"N"
389,5,141,28.2,0,NA,NA,"N"
390,5,50,10,0,NA,NA,"N"
391,5,276,55.2,0,NA,NA,"N"
392,5,46,9.2,0,NA,NA,"N"
394,6,40,6.66666666666667,40,4.66666666666667,2.16024689946929,"Y"
395,6,123,20.5,0,NA,NA,"N"
397,4,33,8.25,33,16.25,4.03112887414927,"N"
398,5,42,8.4,42,14.8,3.84707681233427,"N"
400,5,83,16.6,52,6.33333333333333,2.51661147842358,"Y"
401,3,175,58.3333333333333,175,14.3333333333333,3.78593889720018,"N"
402,4,48,12,48,148,12.1655250605964,"Y"
403,5,84,16.8,84,22.2,4.7116875957559,"Y"
407,16,376,23.5,0,NA,NA,"N"
409,5,64,12.8,64,12.7,3.56370593624109,"N"
410,5,227,45.4,0,NA,NA,"N"
412,4,55,13.75,55,2.91666666666667,1.70782512765993,"Y"
413,1,2,2,2,NA,NA,"N"
416,7,23,3.28571428571429,6,2,1.4142135623731,"N"
417,5,48,9.6,0,NA,NA,"Y"
419,4,107,26.75,107,62.9166666666667,7.9320026895272,"N"
420,5,41,8.2,10,0,0,"N"
421,5,82,16.4,82,18.8,4.33589667773576,"N"
423,5,108,21.6,64,10.3333333333333,3.21455025366432,"N"
424,6,72,12,72,8,2.82842712474619,"Y"
425,7,21,3,1,NA,NA,"N"
426,5,110,22,0,NA,NA,"N"
427,5,64,12.8,0,NA,NA,"N"
429,5,54,10.8,54,20.2,4.49444101084885,"N"
430,5,68,13.6,12,NA,NA,"N"
431,4,10,2.5,10,4.33333333333333,2.08166599946613,"N"
433,6,129,21.5,66,13,3.60555127546399,"N"
434,5,35,7,0,NA,NA,"N"
435,5,61,12.2,61,14.7,3.83405790253616,"N"
438,5,129,25.8,29,NA,NA,"N"
