Page,Date,Person_ID,Envelope_ID,Viable_seeds(Y/N/Mix),Notes,
37,11-05-2016,Michael,140,Y,Seeds small but ok,
37,11-05-2016,Michael,647,Y,,
37,11-05-2016,Michael,208,N,,
37,11-05-2016,Michael,282,N,,
38,11-05-2016,Michael,282,N,repeat,
38,11-05-2016,Michael,205,Y,,
38,11-05-2016,Michael,393,N,,
38,11-05-2016,Michael,704,N,no fruit,
38,11-05-2016,Michael,260,N,no seeds inside,
38,11-05-2016,Michael,714,Y,,
38,11-05-2016,Michael,227,N,,
38,11-05-2016,Michael,166,Y,,
39,11-05-2016,Michael,71,N,seeds aborted,
39,11-05-2016,Michael,491,Y,,
39,11-05-2016,Michael,322,N,,
39,11-05-2016,Michael,79,Y,Seeds small but ok,
39,11-05-2016,Michael,617,Y,,
40,11-05-2016,Maggie,148,Y,,
40,11-05-2016,Maggie,204,Y,,
40,11-05-2016,Maggie,602,Y,,
40,11-05-2016,Maggie,380,Y,,
41,24-05-2016,Michael,158,N,,
41,24-05-2016,Michael,119,Y,,
41,24-05-2016,Michael,149,Y,Seeds small but ok,
41,24-05-2016,Michael,734,Y,,
41,24-05-2016,Michael,427,Y,,
41,24-05-2016,Michael,460,Y,,
41,24-05-2016,Michael,634,Y,,
41,24-05-2016,Michael,610,Y,,
41,24-05-2016,Michael,253,Y,,
41,24-05-2016,Michael,256,Y,,
41,24-05-2016,Michael,299,Y,,
42,24-05-2016,Michael,299,Y,repeat,
42,24-05-2016,Michael,645,Y,,
42,24-05-2016,Michael,37,Y,,
42,24-05-2016,Michael,664,Y,,
42,24-05-2016,Michael,675,Y,,
42,24-05-2016,Michael,429,Y,,
42,24-05-2016,Michael,736,Y,,
42,24-05-2016,Michael,626,Y,,
42,24-05-2016,Michael,366,Y,,
42,24-05-2016,Michael,370,Y,,
43,24-05-2016,Michael,370,Y,repeat,
43,24-05-2016,Michael,373,Y,,
43,24-05-2016,Michael,294,Y,,
43,24-05-2016,Michael,667,Y,,
43,24-05-2016,Michael,291,N,seeds too small,
43,24-05-2016,Michael,435,Y,,
43,24-05-2016,Michael,462,Y,,
43,24-05-2016,Michael,731,Y,,
43,24-05-2016,Michael,285,Y,,
44,25-05-2015,Michael,289,Y,,
44,25-05-2015,Michael,293,Y,,
44,25-05-2015,Michael,697,y,,
44,25-05-2015,Michael,207,N,,
44,25-05-2015,Michael,619,N,,
44,25-05-2015,Michael,643,y,,
44,25-05-2015,Michael,648,Y,,
44,25-05-2015,Michael,430,Y,,
45,25-05-2015,Michael,680,N,,
45,25-05-2015,Michael,314,Y,,
45,25-05-2015,Michael,547,Y,,
45,25-05-2015,Michael,34,Y,,
45,25-05-2015,Michael,710,Y,,
45,25-05-2015,Michael,133,Y,,
45,25-05-2015,Michael,90,Y,,
45,25-05-2015,Michael,678,Y,,
46,25-05-2015,Michael,468,Y,,
46,25-05-2015,Michael,489,N,,
47,31-05-2015,Maggie,143,N,,
47,31-05-2015,Maggie,738,Y,,
47,31-05-2015,Maggie,592,Y,,
47,31-05-2015,Maggie,527,Y,,
47,31-05-2015,Maggie,750,Y,,
47,31-05-2015,Maggie,194,N,,
47,31-05-2015,Maggie,231,Y,"many seeds aborted, some viable",
47,31-05-2015,Maggie,649,Y,,
47,31-05-2015,Maggie,164,Y,,
48,01-06-2016,Maggie,561,Y,,
48,01-06-2016,Maggie,433,Y,,
48,01-06-2016,Maggie,681,Y,,
48,01-06-2016,Maggie,651,Y,Seeds small but ok,
48,01-06-2016,Maggie,214,N,,
48,01-06-2016,Maggie,707,Y,Seeds small but ok,
48,01-06-2016,Maggie,1,Y,,
48,01-06-2016,Maggie,234,No seeds,"""no fruit"" on tag",
48,01-06-2016,Maggie,334,Y,Seeds small but ok,
48,01-06-2016,Maggie,81,Y,Seeds small but ok,
48,01-06-2016,Maggie,422,No seeds,,
49,01-06-2016,Maggie,375,Y,,
49,01-06-2016,Maggie,493,Y,,
49,01-06-2016,Maggie,466,Y,,
49,01-06-2016,Maggie,679,Y,,
49,01-06-2016,Maggie,640,Y,,
49,01-06-2016,Maggie,739,Y,,
49,01-06-2016,Maggie,344,Y,,
49,01-06-2016,Maggie,347,Y,,
49,01-06-2016,Maggie,446,Y,,
49,01-06-2016,Maggie,498,Y,,
