Envelope_ID,PopName,Pop_ID,PopCode,PopCode2,Date_collected,stems,Clump_size,Flower_number,Fruit_number,Secondary_branches,Notes,Seed number
90,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,20,0,0,,
219,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,4,4,0,,
579,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,26,0,0,,
593,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,25,14,0,,
324,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,13,0,0,,
114,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,2,0,0,,
298,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,13,0,0,,
243,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,19,0,0,,
276,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,10,0,0,,
111,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,19,0,0,,
45,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,22,0,0,,
312,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,8,0,0,,
193,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,42,0,10,,
514,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,21,0,0,,
530,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,11,0,0,,
414,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,7,2,0,,
246,Hindon bog,M6,ON.M6,ON.M6,24-10-15,1,,50,45,6,,
542,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,9,4,0,pop size is few thousand stems 60-80% flowering and 60=80% fruiting,
358,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,33,14,0,,
138,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,22,13,0,,
117,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,20,15,0,,
12,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,15,50,50,18,,
141,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,2,2,0,,
42,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,11,4,0,,
657,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,12,3,0,,
683,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,120,110,12,,
623,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,4,3,0,,
555,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,15,6,0,,
517,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,10,8,0,,
153,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,105,105,5,big secondary branches,
540,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,12,3,0,,
183,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,23,15,0,,
213,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,3,3,0,,
310,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,90,85,3,,
299,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,55,50,9,,
223,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,20,15,0,,
144,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,11,9,0,,
365,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,15,7,0,,
244,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,60,50,0,,
129,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,65,50,6,ALL LATE ABORTED SEEDS,
84,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,11,7,0,,
273,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,8,0,6,,
95,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,10,6,0,,
303,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,3,6,0,0,Only 1 stem in this clump with flowers in this bunch,
333,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,21,15,0,,
512,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,20,19,0,,
482,Round Lake,M5,ON.M5,ON.M5,24-10-15,1,,15,11,8,,
33,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,85,80,0,parasites in population. Cuscuta americana,
334,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,190,180,6,LATE ABORTED SEEDS,
510,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,6 to 8,12,12,0,,
29,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,80,80,5,,
77,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,230,225,9,,
104,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,85,85,0,,
132,Loch Garry,T12,ON.T12,ON.T12,23-10-15,stema,,60,60,0,2 stems. This is first,
132,Loch Garry,T12,ON.T12,ON.T12,23-10-15,stemb,,35,35,0,2 stems this is second,
20,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,8,28,28,0,,
102,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,75,75,0,,
90,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,5,210,20,14,,
81,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,30,30,5,,
209,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,7,12,11,0,,
106,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,20,110,105,8,,
126,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,50,50,7,,
133,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,4,45,45,3,,
17,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,20,30,30,0,,
65,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,4,65,55,0,,
69,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,20,9,9,0,,
49,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,10,12,12,0,parasite on plant,
315,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,10,40,38,0,,
124,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,10,60,60,4,parasite on plant,
26,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,4,50,50,18,,
513,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,5,205,205,11,,
543,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,4,55,55,0,ALL LATE ABORTED SEEDS,
572,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,10,10,6,,
632,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,15,55,45,0,,
368,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,6,25,20,0,,
3,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,200,190,8,,
34,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,60,60,5,,
186,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,45,40,0,,
156,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,10,45,43,8,,
220,Loch Garry,T12,ON.T12,ON.T12,23-10-15,1,,125,125,11,,
410,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,215,215,6,plants were interspersed among tall grasses. Estimates of clump size could not be obtained. ,
348,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,23,20,0,,
330,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,105,105,0,,
327,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,230,230,10,,
150,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,500,500,8,,
108,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,245,245,14,,
36,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,130,130,8,,
6,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,195,195,7,,
63,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,320,320,14,,
671,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,139,139,8,small secondary branches,
608,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,144,144,7,,
516,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,102,102,2,,
518,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,115,115,0,,
309,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,55,55,0,,
458,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,70,70,0,,
216,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,105,105,0,,
395,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,95,95,0,,
336,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,90,90,3,,
252,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,134,134,2,,
515,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,70,70,0,,
569,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,175,175,4,,
605,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,50,50,0,,
66,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,88,88,4,,
8,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,280,280,14,,
