Page,Photo_num,Date,Person_ID,Photo,Envelope_ID,Fruit_ID,Seed_number,Fertilized_not_viable,NonViable_seeds,Notes,Notes2,Notes3
11,,20-01-2016,Rebecca,N,130,1,13,N,Y,13 SEEDS,,
11,,20-01-2016,Rebecca,N,130,2,17,N,Y,SEEDS VERY SMALL WITH FUNGI GROWING ON THEM,,
12,,21-01-2016,Weihang,Y,14,1-5,155,N,Y ,,,checked oct 2017
12,,21-01-2016,Weihang,Y,360,1-4,158,N,Y,,,checked oct 2017
12,,21-01-2016,Weihang,Y,521,1-4,132,N,Y ,,,checked oct 2017
12,,21-01-2016,Weihang,Y,539,1-4,154,N,Y ,,,checked oct 2017
12,,21-01-2016,Weihang,Y,66,1-4,119,N,Y ,,,checked oct 2017
12,,21-01-2016,Weihang,Y,605,1-5,102,N,Y ,,,checked oct 2017
12,,21-01-2016,Weihang,Y,671,1,44,N,Y,ONLY 1 ABORTED,,checked oct 2017
12,,21-01-2016,Weihang,Y,671,2,79,N,N,,,checked oct 2017
12,,21-01-2016,Weihang,Y,671,3,77,N,Y,ONLY 1 ABORTED FOUND,,checked oct 2017
12,,21-01-2016,Weihang,Y,671,4,0,Y,Late aborted,,,updated oct 2017
12,,21-01-2016,Weihang,Y,671,5,64,N,Y,1 FOUND,,checked oct 2017
12,,21-01-2016,Weihang,Y,476,1-5,29,Y,Y,"MOSTLY ABORTED, MATURE SEED VERY BIG",,checked oct 2017
12,,21-01-2016,Weihang,Y,98,1-5,155,N,Y,,,checked oct 2017
12,,21-01-2016,Weihang,Y,68,1-5,93,N,Y,,,checked oct 2017
12,,21-01-2016,Weihang,Y,691,1-5,64,N,Y,,,checked oct 2017
12,,21-01-2016,Weihang,Y,51,1-5,153,N,Y,,,checked oct 2017
13,,21-01-2016,Weihang,Y,389,1-5,141,N,Y,,,checked oct 2017
13,,21-01-2016,Weihang,Y,109,1-2,38,N,Y ,,,checked oct 2017
13,,21-01-2016,Weihang,N,109,3,7,N,Y,7 SEEDS ,,
13,,21-01-2016,Weihang,N,109,4,9,N,Y,9 SEEDS,,
13,,26-01-2016,Rebecca,N,270,1-4,13,N,Y,13 SEEDS,,
13,,26-01-2016,Rebecca,N,270,5,1,N,Y,1 SEED,,
13,,26-01-2016,Rebecca,Y,330,1-5,204,N,Y,VERY LARGE FRUITS,,updated oct 2017
13,,26-01-2016,Rebecca,N,478,1-3,16,N,Y,16 SEEDS,,
13,,26-01-2016,Rebecca,N,478,4,3,N,Y,3 SEEDS,,
13,,26-01-2016,Rebecca,N,478,5,0,N,Y,0 SEEDS,,
13,,26-01-2016,Rebecca,Y,523,1-3,33,N,Y,,,updated oct 2017
13,,27-01-2016,Rebecca,N,416,1-5,17,N,Y,17 SEEDS,,
13,,27-01-2016,Rebecca,N,416,6,4,N,Y,4 SEEDS,,
13,,27-01-2016,Rebecca,N,416,7,2,N,Y,2 SEEDS,,
13,,27-01-2016,Rebecca,N,181,1,4,N,Y,4 SEEDS,,
13,,27-01-2016,Rebecca,N,181,2,4,N,Y,4 SEEDS,,
13,,27-01-2016,Rebecca,N,181,3,1,N,Y,1 SEED,,
